customer_id,age,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,gender,churn
1,52,0,58.81581845900273,1230.0039338025426,One year,Credit card,Fiber optic,No internet service,No,No internet service,No,No,Male,0
2,42,0,49.95687188818834,703.8833357501055,Two year,Mailed check,No,No internet service,Yes,No internet service,No internet service,No,Female,0
3,54,5,71.3834902083836,1543.8791725258118,Two year,Mailed check,No,Yes,Yes,No,Yes,No,Male,0
4,67,6,91.80900892046289,2181.4266201139712,Two year,Electronic check,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Female,1
5,41,0,27.49655060708511,2595.0294658355647,Month-to-month,Bank transfer,Fiber optic,No,Yes,No internet service,No,Yes,Female,1
6,41,13,,1442.5769468916787,One year,Mailed check,Fiber optic,No,No,No,Yes,Yes,Male,1
7,68,0,61.797344088667195,1587.002177856566,Two year,Electronic check,No,No,No,No internet service,Yes,No,Male,0
8,56,3,78.42680152900931,1073.3016911526893,One year,Credit card,Fiber optic,No internet service,No internet service,No,Yes,No,Female,0
9,37,6,69.26393256475379,1968.5608296252235,Month-to-month,Credit card,DSL,No internet service,Yes,No internet service,No internet service,Yes,Female,0
10,53,10,49.960613365223615,1151.5713658091854,Month-to-month,Electronic check,DSL,No internet service,No internet service,No,Yes,No,Female,0
11,38,6,58.618921286667636,2573.1278132412,Month-to-month,Bank transfer,DSL,No internet service,No internet service,No internet service,No internet service,No,Female,1
12,38,8,49.07948286393022,214.13350806588883,Month-to-month,Electronic check,No,No,Yes,No internet service,No internet service,Yes,Female,1
13,48,2,86.52014277197196,1640.3703275475377,One year,Electronic check,DSL,No internet service,No,No,No,Yes,Female,0
14,16,8,65.42623297343884,2301.107339191742,Month-to-month,Mailed check,No,No internet service,No,No internet service,No,Yes,Male,1
15,19,0,103.02381371506014,2183.8345163225044,Month-to-month,Electronic check,No,No internet service,Yes,No,Yes,No,Female,1
16,36,11,63.786783723707586,4693.033663980496,Two year,Electronic check,DSL,No internet service,Yes,No,Yes,No,Female,0
17,29,3,50.831864661790746,2349.8000245679073,Month-to-month,Credit card,Fiber optic,Yes,No,No internet service,No,No,Male,1
18,49,8,34.72571214774346,995.9454031579902,Two year,Mailed check,No,No,Yes,Yes,No internet service,Yes,Male,1
19,31,3,28.937206474881098,1904.535752910927,Month-to-month,Credit card,DSL,No,Yes,No internet service,No internet service,Yes,Male,0
20,23,5,33.317281139890206,223.753666533548,Month-to-month,Credit card,No,No internet service,Yes,Yes,No,No,Female,1
21,66,3,70.34253302022967,1919.4002507032392,Two year,Bank transfer,Fiber optic,Yes,No,Yes,No internet service,Yes,Male,1
22,41,6,75.17450046459868,1166.9439429992412,Month-to-month,Bank transfer,Fiber optic,No,No internet service,No internet service,No,Yes,Male,1
23,46,0,33.37618595935733,,One year,Mailed check,DSL,No,No internet service,Yes,No,No,Female,0
24,23,0,82.90076628152231,1450.4597254044652,One year,Mailed check,No,No internet service,Yes,No,Yes,Yes,Female,0
25,36,1,55.33877896633121,1883.2340842047533,Month-to-month,Bank transfer,No,No internet service,No,No,Yes,Yes,Female,0
26,46,0,67.93586023971099,1364.4421585955965,One year,Bank transfer,No,No,Yes,Yes,No,Yes,Female,0
27,27,10,97.24441256510849,3738.8513518533314,Two year,Bank transfer,No,No,No,No,Yes,No,Male,0
28,50,1,,1678.7572338820883,Month-to-month,Bank transfer,DSL,Yes,Yes,No internet service,No,No,Female,1
29,35,18,59.629387041883355,3832.5570434792016,Month-to-month,Bank transfer,Fiber optic,No,No,No,No internet service,Yes,Male,0
30,40,2,47.17615549169425,2814.1517621182666,Two year,Credit card,DSL,No,No,Yes,No internet service,No,Female,1
31,35,1,21.9636919734139,2482.066727335386,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No,Male,1
32,72,7,50.616933615151595,2368.7331473175195,Two year,Credit card,No,No,Yes,No,No internet service,No,Female,1
33,44,5,60.77739522344611,2393.7972982162514,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Female,1
34,29,3,45.25640945697633,72.32742065439001,Two year,Electronic check,No,No,No internet service,Yes,No internet service,No,Female,0
35,57,4,62.37486065815391,1721.1166058492436,Two year,Credit card,DSL,No,No,No,No internet service,Yes,Male,1
36,26,6,66.53703765917537,2845.1579711843215,One year,Bank transfer,DSL,No,Yes,No internet service,No internet service,Yes,Male,1
37,48,1,60.50288036383843,1951.1028165258945,One year,Bank transfer,Fiber optic,Yes,No,No internet service,No internet service,No,Male,0
38,15,28,51.99994838353081,594.810153196425,Month-to-month,Electronic check,DSL,No internet service,No,No,No,Yes,Female,1
39,25,18,68.37309343933455,1947.5955494225304,One year,Electronic check,DSL,Yes,No,No internet service,No internet service,No,Male,1
40,47,5,73.83881299138818,3704.1055162554912,One year,Electronic check,DSL,No,Yes,No internet service,Yes,No,Female,1
41,56,1,,3246.8917155347194,Two year,Electronic check,DSL,Yes,Yes,Yes,Yes,Yes,Female,0
42,47,5,93.2186475949254,1937.9959906339682,Two year,Electronic check,No,No internet service,No,Yes,Yes,Yes,Female,1
43,43,0,63.02823735431477,2951.4492770580864,One year,Credit card,DSL,No,Yes,Yes,Yes,No,Male,0
44,40,0,65.37699245889695,1633.4929796319482,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,No,Female,1
45,22,1,79.16428846513115,296.1284131732811,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,No,Male,0
46,34,3,69.66432262527003,1075.5340118704455,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,No,No,Female,1
47,38,10,84.06273267826491,3562.8887685081977,Month-to-month,Electronic check,Fiber optic,Yes,No internet service,No,Yes,Yes,Female,0
48,60,6,70.74248330403648,1726.0069181706958,Month-to-month,Electronic check,DSL,No internet service,No,Yes,No internet service,Yes,Female,1
49,50,6,52.75125250719124,1756.616020624982,One year,Credit card,Fiber optic,No,No internet service,No internet service,Yes,Yes,Male,0
50,18,2,72.23007050412204,1700.1618037251194,One year,Mailed check,Fiber optic,No,No internet service,No,No,No,Male,1
51,49,2,42.125475853586764,3904.136589573007,Month-to-month,Credit card,DSL,Yes,No,No internet service,Yes,Yes,Female,0
52,39,2,67.17119411553047,3625.958915362063,Month-to-month,Credit card,DSL,No,No,Yes,No internet service,Yes,Male,0
53,34,21,64.33540018711078,4218.780233448134,One year,Electronic check,No,No,Yes,Yes,No internet service,Yes,Male,0
54,54,0,,1840.9547895999488,Two year,Bank transfer,DSL,Yes,No,No internet service,No,Yes,Female,1
55,60,10,62.429249771221386,2295.6244887470953,Month-to-month,Bank transfer,DSL,No,No internet service,No internet service,No,No,Female,0
56,58,4,27.363019090047217,483.3574505792089,One year,Credit card,No,Yes,No internet service,No internet service,No,Yes,Male,0
57,32,2,,3476.9344261182746,One year,Electronic check,DSL,No internet service,No,No,No,Yes,Female,1
58,40,6,66.85689802282229,,Two year,Mailed check,DSL,No internet service,No internet service,Yes,Yes,Yes,Female,0
59,49,3,68.19712783994801,2216.775563762629,One year,Bank transfer,No,No internet service,Yes,No internet service,Yes,Yes,Male,0
60,59,10,44.44649718148084,902.6974723671559,One year,Mailed check,DSL,Yes,No internet service,Yes,No internet service,No,Male,0
61,37,11,90.314156817294,1411.133173261304,Month-to-month,Bank transfer,DSL,Yes,Yes,No internet service,No,No,Female,0
62,42,2,47.676503035709985,1162.7375689502996,Month-to-month,Electronic check,No,No,No internet service,Yes,No,Yes,Male,1
63,28,1,84.38914401053474,1392.1247393241822,Two year,Credit card,No,No,Yes,No,Yes,No,Male,1
64,27,4,,1460.8772968510214,Two year,Mailed check,Fiber optic,No,Yes,Yes,No,No,Female,0
65,57,12,52.07545380312394,1451.7312050749229,One year,Mailed check,DSL,No,No,No internet service,No internet service,No,Female,0
66,65,1,100.50621785219023,2833.333911780307,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,No internet service,No,Female,1
67,43,4,41.1272633648704,895.1372069374798,Two year,Mailed check,Fiber optic,Yes,No,No,No,Yes,Female,0
68,60,4,83.38308347220003,2220.5414270138667,Two year,Bank transfer,No,Yes,No internet service,No,No internet service,No,Male,0
69,50,6,85.01164636085957,3217.9591523055583,Two year,Credit card,DSL,No internet service,No internet service,Yes,No internet service,No,Male,1
70,35,0,51.5875958184671,1486.803635486604,One year,Bank transfer,DSL,No internet service,No internet service,No internet service,Yes,Yes,Female,0
71,50,6,92.84930600128658,1282.0811092523982,Month-to-month,Bank transfer,No,No internet service,Yes,No,No internet service,Yes,Female,1
72,68,11,59.99906970802095,1769.4753748197493,Two year,Electronic check,Fiber optic,No internet service,No internet service,No,No,Yes,Female,0
73,44,0,70.77387258559715,3179.72520836071,Month-to-month,Bank transfer,No,Yes,No internet service,Yes,No,Yes,Female,0
74,68,1,70.20643677542441,2194.107630953358,Two year,Electronic check,DSL,Yes,No,No,No internet service,No,Male,0
75,5,17,62.31382517058904,1468.7857053924015,Two year,Mailed check,No,Yes,No,No,No,Yes,Male,0
76,57,0,81.21616546319564,2483.8766511880394,Month-to-month,Mailed check,DSL,No,No internet service,No internet service,Yes,No,Female,1
77,46,9,80.86977441104426,897.7078501635767,Month-to-month,Electronic check,Fiber optic,No,No internet service,No internet service,No internet service,No,Female,1
78,40,3,30.029360535236385,2681.359510442948,Month-to-month,Bank transfer,DSL,No internet service,Yes,No internet service,No internet service,Yes,Male,1
79,46,1,91.08680485756305,2408.6073077017672,One year,Credit card,Fiber optic,No,Yes,Yes,No internet service,Yes,Male,1
80,15,10,31.750160239286515,1692.191528861116,Two year,Credit card,Fiber optic,Yes,No internet service,No,No,No,Male,0
81,41,2,85.65092408683314,1161.4142015527689,One year,Electronic check,DSL,No internet service,No,Yes,No,No,Male,1
82,50,3,87.53410273655166,1113.3190777165426,Month-to-month,Mailed check,DSL,No internet service,No internet service,No,No internet service,Yes,Female,1
83,67,2,43.18067139569604,2534.81733634591,Two year,Mailed check,Fiber optic,No,Yes,No,No,Yes,Male,0
84,37,4,56.7837142409083,3228.980502489062,One year,Credit card,No,No internet service,No,No,No,Yes,Male,0
85,32,0,42.88590663028128,1362.692252971205,Two year,Electronic check,DSL,No,No,No internet service,No internet service,No,Male,0
86,37,2,60.70157939422529,2458.3867035514845,One year,Credit card,Fiber optic,No,Yes,Yes,No internet service,No,Female,1
87,58,17,58.839314316285176,-87.02701860206874,Month-to-month,Bank transfer,Fiber optic,No internet service,No internet service,Yes,No,Yes,Female,0
88,49,1,80.59321064538679,1415.3822693428003,One year,Bank transfer,No,No,No internet service,No,No internet service,No,Male,1
89,37,5,91.20617492239218,1968.941067129098,Two year,Electronic check,DSL,No,No internet service,Yes,No internet service,Yes,Male,0
90,52,1,92.91367621579913,1090.3165830181663,Two year,Electronic check,Fiber optic,No,Yes,No internet service,No internet service,No,Female,1
91,46,7,53.75663946843396,1063.4936252104042,Two year,Bank transfer,No,No,No,Yes,No internet service,No,Female,0
92,59,0,60.81556252510944,1332.220443531114,Two year,Mailed check,Fiber optic,No internet service,Yes,No,No,Yes,Male,0
93,34,17,31.331236155581,2292.192728326373,Month-to-month,Electronic check,DSL,Yes,No internet service,No internet service,No internet service,Yes,Female,1
94,40,3,48.88259867007623,1812.6709815936254,One year,Bank transfer,No,Yes,Yes,No internet service,Yes,Yes,Male,0
95,39,1,84.29703266194915,-238.2312333249721,Month-to-month,Bank transfer,Fiber optic,No,No,No,No internet service,No,Female,0
96,23,0,97.31165647096464,-120.70015263506617,Month-to-month,Mailed check,No,No,Yes,Yes,Yes,No,Male,1
97,49,0,40.31302256240156,1393.1348221428248,Month-to-month,Mailed check,DSL,No,No internet service,No,No internet service,Yes,Male,1
98,48,3,53.15071481694211,2457.6865860535518,Two year,Mailed check,No,Yes,No,Yes,Yes,No,Female,0
99,45,2,64.47188486082146,-747.5048427252347,Two year,Mailed check,DSL,No,Yes,Yes,Yes,Yes,Male,0
100,41,8,70.60322317639212,1500.2698238483695,Two year,Credit card,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Female,1
101,23,2,48.807929601567075,1473.752143482579,One year,Mailed check,DSL,No internet service,No,No,No internet service,Yes,Female,0
102,38,1,73.4812208892818,3388.3377782084476,Two year,Credit card,Fiber optic,No internet service,No,No internet service,No internet service,No,Female,0
